Genre_es,Español,Genre_fr,Français,Catégorie,Détails
,escaso / escasa,,"pauvre, rare",Qualificatif,
,sencillo / sencilla,,"simple, facile",Qualificatif,
,femenino,,féminin,Qualificatif,
,legal / légales,,légal / légaux,Qualificatif,
,débil,,faible,Qualificatif,
,civil,,civile,Qualificatif,
,ideal,,idéal,Qualificatif,
,mundial,,mondial,Qualificatif,
,previa,,préalable,Qualificatif,
,regular,,normal,Qualificatif,
,puro,,pur,Qualificatif,
la,fe,,la foi,Religion,
el,alma,,l’âme,Religion,
el,ángel,,l’ange,Religion,
el,espiritu,,l’esprit,Religion,
el,dio,,le dieu,Religion,
la,inglesia,,l’église,Religion,
la,cruz,,la croix,Religion,
el,destino,,le destin,Religion,
,santo / santa,,saint / sainte,Religion,
,católico / católica,,catolique,Religion,
,religioso / religiosa,,religieux / religieuse,Religion,
el,verano,,summer,Saison,
,invierno,,winter,Saison,
,otoño,,fall,Saison,
,primavera,,printemps,Saison,
la,tecnología,,La technologie,Science,
la,velocidad,,La vitesse,Science,
la,Filosofía,,La philosophie,Science,
la,temperatura,,La température,Science,
la,masa,,La masse,Science,
el,elemento,,l’élément,Science,
el,metodo,,La méthode,Science,
el,volumen,,Le volume,Science,
el,promedio,,La moyenne,Science,
el,circulo,,Le cercle,Science,
el,radio,,Le rayon (du cercle),Science,
la,cantidad,,La quantité,Science,
la,medida,,La mesure,Science,
el,punto,,Le point,Science,
la,Energia,,L’énergie,Science,
la,análisis,,l’analyse,Science,
la,ciencia,,La science,Science,
la,teoría,,La théorie,Science,
el,concepto,,Le concept,Science,
la,técnica,,La technique,Science,
la,superficie,,La superficie,Science,
la,física,,La physique,Science,
el,método,,La méthode,Science,
la,tesis,,La these,Science,
la,fórmula,,La formule,Science,
el,equilibrio,,L’équilibre,Science,
la,limite,,La limite,Science,
la,sustancia,,La substance,Science,
el,núcleo,,Le noyau,Science,
la,quimica,,La chimie,Science,
la,atmósfera,,L’atmosphere,Science,
la,proporción,,La proportion,Science,
la,observación,,L’observation,Science,
la,profundidad,,La profondeur,Science,
el,laboratorio,,Le laboratoire,Science,
el,discubrimiento,,La découverte,Science,
el,olor,,L´odeur,Sens,
el,oido,,L’ouïe,Sens,
el,sabor,,la saveur,Sens,
,nervioso,,nervous,Sentiment,nerviosa
la,sorpresa,,la surprise,Sentiment,
la,Esperanza,,l’espoir,Sentiment,
la,Felicidad,,Le bonheur,Sentiment,
la,Amistad,,L’amitié,Sentiment,
el,sentimiento,,Le sentiment,Sentiment,
el,Placer,,Le plaisir,Sentiment,
la,Satisfacción,,La satisfaction,Sentiment,
la,alegria,,la joie,Sentiment,
el,dolor,,la douleur,Sentiment,
el,temor,,la crainte,Sentiment,
la,soledad,,la solitude,Sentiment,
el,deseo,,Le désir,Sentiment,
el,humor,,l’humour,Sentiment,
la,curiosidad,,la curiosité,Sentiment,
el,honor,,l’honneur,Sentiment,
la,concentración,,la concentration,Sentiment,
el,Equipo,,"L’équipement, l’équipe",Sport,
el,Gol,,Le but,Sport,
el,descenso,,La descente,Sport,
el,campeonato,,Le championnat,Sport,
el,torneo,,le tournois,Sport,
el,estadio,,le stade,Sport,
la,liga,,la ligue,Sport,
,campeón,,champion,Sport,
,temprano,,tôt,Temps,
,nublado,,nuageux,Temps,
,Recién,,Récemment,Temps,
,Calendario,,Calendrier,Temps,
,pronto,,bientôt,Temps,
,Comprar,,Acheter,Verbe,"yo compro, tu compras, el compra"
,Quiero,,Vouloir / Aimer,Verbe,"yo quiero, tú quires, el quiere, quieremos"
,hablar,,Parler,Verbe,"yo hablo, tú hablas, él habla"
,estar,,"Être, rester",Verbe,"Yo estoy, tú estás, el ella está
Están Estamos"
,ser,,Être,Verbe,"Yo soy, tú eres, él es / ella esa
son"
,tener,,Avoir,Verbe,"Yo tengo, tú tienes, él tiene"
,leer,,Lire,Verbe,"yo leo, tú lees"
,estudiar,,Étudier,Verbe,tú estudias
,escribir,,Écrire,Verbe,"yo escribo, tú escribes"
,comer,,Mager,Verbe,"yo como, tu comes él come, comemos"
,correr,,Courier,Verbe,"Yo corro, tú corres, él corre"
,abrir,,open,Verbe,
,necesitar,,need,Verbe,"Yo necesito, tú necesitas, él necesita, nosotros necesitamos, "
,tocar,,"Jouer, Toucher",Verbe,
,toma,,take,Verbe,
,manejar,,"Conduire, rouler ",Verbe,
,abre,,open,Verbe,
,bailar,,dance,Verbe,
,caminar,,walk,Verbe,
,viajar,,travel,Verbe,
,vender,,to sell,Verbe,
,nadar,,swinning,Verbe,
,cuestar,,cost,Verbe,
,aprender,,learn,Verbe,
,mirar,,to look,Verbe,
,salir,,"leave, exit",Verbe,
,sentar,,sit,Verbe,
,pintar,,to paint,Verbe,
,limpiar,,to clean,Verbe,
,jugar,,"play (toy, sports)",Verbe,
,escuchar,,listening,Verbe,
,hacer,,to do / make / ago,Verbe,
,probar,,try on / prove,Verbe,
,costar,,to cost,Verbe,
,pasar,,Passer,Verbe,
,montar,,to mount,Verbe,
,llamar,,to call,Verbe,
,ayudar,,to help,Verbe,
,amar,,to love,Verbe,
,ver,,Regarder,Verbe,
,enseñar,,to teach,Verbe,
,entrar,,get in,Verbe,
,volver,,revenir,Verbe,
,salgar,,go out,Verbe,
,ponerse,,to put on,Verbe,
,almorzar,,having lunch,Verbe,
,coger,,to take,Verbe,
,empezar,,to start,Verbe,
,entender,,to understande,Verbe,
,conocer,,connaître,Verbe,"conozco, conoces, conoce, conocemos, conocen"
,poder,,Pouvoir / Capable de,Verbe,
,Perder,,Perdre,Verbe,
,esconder,,to hide,Verbe,
,encontrar,,to find / meet up,Verbe,
,regar,,to water,Verbe,
,cantar,,to sign,Verbe,
,interesar,,to interest,Verbe,
,practicar,,to practice,Verbe,
,contestar,,contester / répondre,Verbe,
,nevar,,to snow,Verbe,
,esperar,,to wait,Verbe,
,Llevar,,"Porter, Emmener, Emporter",Verbe,
,lavar,,nettoyer,Verbe,
,poner,,mettre,Verbe,
,sentir,,sentir,Verbe,
,llover,,pleuvoir,Verbe,
,volar,,voler,Verbe,
,cenar,,souper,Verbe,
,gustar,,aimer,Verbe,
,encontrar,,Trouver,Verbe,
,recordar,,Souvenir,Verbe,
,desayunar,,Dejeuner,Verbe,
,preguntar,,Demander,Verbe,
,girar,,tourner,Verbe,
,seguir,,continuer / suivre,Verbe,
,mentir,,mentir,Verbe,
,mandar,,envoyer,Verbe,
,haber,,Avoir,Verbe,
